Zip Code,Median Income ($)
90620,83524.0
90621,54670.0
90623,83857.0
90630,84421.0
90631,69425.0
90680,50293.0
90720,96290.0
90740,59875.0
90742,76667.0
90743,109028.0
92602,105612.0
92603,114606.0
92604,94201.0
92606,91250.0
92610,121861.0
92612,74525.0
92614,92438.0
92617,40305.0
92618,100100.0
92620,98830.0
92624,82328.0
92625,135266.0
92626,80951.0
92627,62115.0
92629,84974.0
92630,82899.0
92637,39223.0
92646,91637.0
92647,73604.0
92648,89089.0
92649,90534.0
92651,103191.0
92653,94074.0
92655,43278.0
92656,102289.0
92657,195051.0
92660,117263.0
92661,102167.0
92662,97206.0
92663,94938.0
92672,75561.0
92673,136776.0
92675,80120.0
92676,100919.0
92677,97059.0
92678,82386.0
92679,153531.0
92683,55224.0
92688,99342.0
92691,100956.0
92692,106797.0
92694,145148.0
92701,39348.0
92703,50692.0
92704,60867.0
92705,87782.0
92706,58623.0
92707,61348.0
92708,83860.0
92780,66306.0
92782,100024.0
92801,50423.0
92802,51913.0
92804,53733.0
92805,56636.0
92806,64227.0
92807,99698.0
92808,113703.0
92821,82603.0
92823,132333.0
92831,61050.0
92832,58274.0
92833,67752.0
92835,94332.0
92840,62420.0
92841,55267.0
92843,53489.0
92844,50444.0
92845,94451.0
92861,131750.0
92865,89016.0
92866,65460.0
92867,82347.0
92868,61404.0
92869,91904.0
92870,81137.0
92886,112204.0
92887,129768.0
